iter	Passed	Remaining
645	14636	8020
646	14659	7998
647	14680	7974
648	14701	7951
649	14722	7927
650	14744	7904
651	14766	7881
652	14787	7858
653	14809	7834
654	14830	7811
655	14852	7788
656	14873	7764
657	14894	7741
658	14915	7717
659	14936	7694
660	14958	7671
661	14978	7647
662	15000	7624
663	15022	7601
664	15043	7578
665	15065	7555
666	15086	7531
667	15107	7508
668	15128	7484
669	15149	7461
670	15170	7438
671	15192	7415
672	15217	7393
673	15239	7371
674	15262	7348
675	15283	7325
676	15304	7301
677	15326	7278
678	15347	7255
679	15368	7232
680	15390	7209
681	15410	7185
682	15432	7162
683	15454	7140
684	15476	7117
685	15498	7093
686	15519	7070
687	15541	7047
688	15563	7025
689	15585	7001
690	15605	6978
691	15627	6955
692	15649	6932
693	15672	6910
694	15693	6886
695	15713	6863
696	15735	6840
697	15757	6817
698	15778	6794
699	15799	6771
700	15821	6748
701	15842	6725
702	15863	6701
703	15884	6678
704	15904	6655
705	15926	6632
706	15948	6609
707	15969	6586
708	15990	6562
709	16012	6540
710	16032	6516
711	16053	6493
712	16075	6470
713	16097	6447
714	16118	6424
715	16139	6401
716	16160	6378
717	16181	6355
718	16202	6332
719	16226	6310
720	16249	6287
721	16271	6265
722	16295	6243
723	16316	6220
724	16338	6197
725	16360	6174
726	16381	6151
727	16403	6128
728	16425	6106
729	16447	6083
730	16467	6060
731	16488	6036
732	16511	6014
733	16532	5991
734	16552	5967
735	16574	5945
736	16595	5922
737	16617	5899
738	16637	5876
739	16660	5853
740	16682	5831
741	16703	5807
742	16725	5785
743	16747	5762
744	16768	5739
745	16790	5716
746	16812	5694
747	16833	5671
748	16855	5648
749	16876	5625
750	16899	5603
751	16920	5580
752	16941	5557
753	16963	5534
754	16986	5512
755	17006	5488
756	17027	5465
757	17049	5443
758	17070	5420
759	17092	5397
760	17114	5374
761	17134	5351
762	17156	5329
763	17177	5306
764	17197	5282
765	17217	5259
766	17239	5236
767	17262	5214
768	17285	5192
769	17309	5170
770	17331	5147
771	17353	5125
772	17374	5102
773	17395	5079
774	17417	5056
775	17439	5034
776	17460	5011
777	17481	4988
778	17502	4965
779	17523	4942
780	17545	4919
781	17566	4897
782	17589	4874
783	17610	4851
784	17631	4829
785	17654	4806
786	17675	4783
787	17697	4761
788	17719	4738
789	17741	4716
790	17762	4693
791	17784	4670
792	17805	4647
793	17826	4625
794	17848	4602
795	17869	4579
796	17890	4556
797	17910	4533
798	17933	4511
799	17955	4488
800	17976	4465
801	17996	4443
802	18017	4420
803	18039	4397
804	18060	4374
805	18083	4352
806	18105	4330
807	18127	4307
808	18149	4284
809	18170	4262
810	18191	4239
811	18214	4217
812	18237	4194
813	18258	4171
814	18281	4149
815	18303	4127
816	18326	4104
817	18349	4082
818	18371	4060
819	18392	4037
820	18413	4014
821	18434	3991
822	18456	3969
823	18478	3946
824	18500	3924
825	18521	3901
826	18542	3878
827	18563	3856
828	18583	3833
829	18605	3810
830	18626	3788
831	18648	3765
832	18669	3742
833	18691	3720
834	18712	3697
835	18733	3675
836	18754	3652
837	18777	3629
838	18799	3607
839	18820	3584
840	18842	3562
841	18862	3539
842	18884	3517
843	18906	3494
844	18927	3471
845	18948	3449
846	18969	3426
847	18991	3404
848	19012	3381
849	19031	3358
850	19053	3336
851	19076	3313
852	19097	3291
853	19119	3268
854	19139	3245
855	19161	3223
856	19182	3200
857	19203	3178
858	19225	3155
859	19246	3133
860	19268	3110
861	19290	3088
862	19311	3065
863	19335	3043
864	19357	3021
865	19380	2998
866	19401	2976
867	19423	2953
868	19445	2931
869	19467	2908
870	19489	2886
871	19511	2864
872	19532	2841
873	19554	2819
874	19576	2796
875	19597	2774
876	19620	2751
877	19642	2729
878	19663	2706
879	19686	2684
880	19708	2662
881	19728	2639
882	19750	2616
883	19771	2594
884	19792	2571
885	19812	2549
886	19834	2526
887	19857	2504
888	19879	2482
889	19901	2459
890	19922	2437
891	19943	2414
892	19965	2392
893	19987	2369
894	20009	2347
895	20030	2324
896	20052	2302
897	20074	2280
898	20094	2257
899	20116	2235
900	20138	2212
901	20159	2190
902	20181	2167
903	20202	2145
904	20224	2123
905	20247	2100
906	20267	2078
907	20289	2055
908	20310	2033
909	20330	2010
910	20354	1988
911	20378	1966
912	20402	1944
913	20424	1921
914	20446	1899
915	20467	1876
916	20490	1854
917	20512	1832
918	20534	1809
919	20554	1787
920	20578	1765
921	20601	1742
922	20623	1720
923	20644	1698
924	20666	1675
925	20687	1653
926	20708	1630
927	20729	1608
928	20749	1585
929	20771	1563
930	20791	1540
931	20812	1518
932	20832	1496
933	20853	1473
934	20875	1451
935	20897	1428
936	20918	1406
937	20939	1384
938	20961	1361
939	20982	1339
940	21003	1316
941	21023	1294
942	21045	1272
943	21066	1249
944	21089	1227
945	21111	1205
946	21132	1182
947	21153	1160
948	21174	1137
949	21196	1115
950	21218	1093
951	21241	1070
952	21262	1048
953	21283	1026
954	21304	1003
955	21325	981
956	21345	959
957	21367	936
958	21390	914
959	21412	892
960	21435	869
961	21459	847
962	21480	825
963	21501	802
964	21522	780
965	21543	758
966	21565	735
967	21585	713
968	21608	691
969	21629	668
970	21650	646
971	21673	624
972	21694	602
973	21715	579
974	21736	557
975	21758	535
976	21780	512
977	21802	490
978	21824	468
979	21844	445
980	21865	423
981	21886	401
982	21910	378
983	21930	356
984	21951	334
985	21973	311
986	21995	289
987	22016	267
988	22037	245
989	22059	222
990	22079	200
991	22100	178
992	22120	155
993	22141	133
994	22163	111
995	22185	89
996	22206	66
997	22228	44
998	22250	22
999	22272	0
